,movie_image,movie_name,movie_year,certificate,movie_duration,genre,movie_status,rating,rating_metascore,movie_description,cast_detail,movie_votes_detail
0,"https://m.media-amazon.com/images/M/MV5BMDgxOTdjMzYtZGQxMS00ZTAzLWI4Y2UtMTQzN2VlYjYyZWRiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",Guardians of the Galaxy Vol. 3,(2023),PG-13,150 min,"Action, Adventure, Comedy",,8.3,64 Metascore,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.","Director: James Gunn | Stars: Chris Pratt, Chukwudi Iwuji, Bradley Cooper, Pom Klementieff","Votes: 125,095"
1,"https://m.media-amazon.com/images/M/MV5BNmFkN2M2NzItOTY5YS00MmE2LTk3ZjctNTk2YzQ5ZmRiYzJjXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UX67_CR0,0,67,98_AL_.jpg",Dungeons & Dragons: Honor Among Thieves,(2023),PG-13,134 min,"Action, Adventure, Comedy",,7.4,72 Metascore,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.","Directors: John Francis Daley, Jonathan Goldstein | Stars: Chris Pine, Michelle Rodriguez, Regé-Jean Page, Justice Smith","Votes: 100,204"
2,"https://m.media-amazon.com/images/M/MV5BNmQzOWZhOTMtZTcxNC00MTdkLWEwYmUtOWVmOTFhNTdkNjRkXkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_UX67_CR0,0,67,98_AL_.jpg",Guy Ritchie's the Covenant,(2023),R,123 min,"Action, Thriller, War",,7.6,63 Metascore,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.","Director: Guy Ritchie | Stars: Jake Gyllenhaal, Dar Salim, Sean Sagar, Jason Wong","Votes: 30,065"
3,"https://m.media-amazon.com/images/M/MV5BODlmZThjZGItOGRmMC00ODVjLWIzYWMtODBhYzQyZjE4NWE5XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UX67_CR0,0,67,98_AL_.jpg",The Mother,(2023),R,115 min,"Action, Thriller",,5.5,44 Metascore,"While fleeing from dangerous assailants, an assassin comes out of hiding to protect the daughter she had left earlier in life.","Director: Niki Caro | Stars: Jennifer Lopez, Lucy Paez, Omari Hardwick, Joseph Fiennes","Votes: 20,337"
4,"https://m.media-amazon.com/images/M/MV5BZjAzN2UzNzktNjUyMC00MDhjLTkxNGUtYWRhMzY0MDhiMmNjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg",The Meg 2: The Trench,(2023),PG-13,,"Action, Adventure, Horror",Completed,,,Plot unknown. Sequel to the 2018 film 'The Meg.',"Director: Ben Wheatley | Stars: Jason Statham, Jing Wu, Sienna Guillory, Skyler Samuels",
5,"https://m.media-amazon.com/images/M/MV5BODI0YjNhNjUtYjM0My00MTUwLWFlYTMtMWI2NGUzYjNjNGQzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",Dune: Part Two,(2023),,,"Action, Adventure, Drama",Post-production,,,"A boy becomes the Messiah of nomads on a desert planet that has giant worms that protect a commodity called Spice. Spice changes people into travelers, mystics and madmen. What price will he pay to become the new ruler of their universe?","Director: Denis Villeneuve | Stars: Timothée Chalamet, Zendaya, Rebecca Ferguson, Josh Brolin",
6,"https://m.media-amazon.com/images/M/MV5BNDIzMTk4NDYtMjg5OS00ZGI0LWJhZDYtMzdmZGY1YWU5ZGNkXkEyXkFqcGdeQXVyMTI5NzUyMTIz._V1_UX67_CR0,0,67,98_AL_.jpg",Guardians of the Galaxy,(2014),PG-13,121 min,"Action, Adventure, Comedy",,8.0,76 Metascore,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"Director: James Gunn | Stars: Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana","Votes: 1,213,189 | Gross: $333.18M"
7,"https://m.media-amazon.com/images/M/MV5BZTIzNTQ0ZTYtZGIwOC00NzIxLWI0OWMtY2JlNTNiOTM1MWZhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",Peter Pan & Wendy,(2023),PG,106 min,"Action, Adventure, Comedy",,4.1,61 Metascore,"Follow the adventures of Peter Pan, a boy who does not want to grow up, and how he recruits three siblings in London, and together they embark on a magical adventure on the enchanted island of Neverland.","Director: David Lowery | Stars: Alexander Molony, Ever Anderson, Jude Law, Alyssa Wapanatâhk","Votes: 20,159"
8,"https://m.media-amazon.com/images/M/MV5BNGMzYWZlYmYtNTcyMC00ZGVjLThjN2ItMjY4MjkwN2NlMjYwXkEyXkFqcGdeQXVyOTU0NjY1MDM@._V1_UX67_CR0,0,67,98_AL_.jpg",Ghosted,(I) (2023),PG-13,116 min,"Action, Adventure, Comedy",,5.8,34 Metascore,"Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.","Director: Dexter Fletcher | Stars: Chris Evans, Ana de Armas, Adrien Brody, Mike Moh","Votes: 37,571"
9,"https://m.media-amazon.com/images/M/MV5BMDExZGMyOTMtMDgyYi00NGIwLWJhMTEtOTdkZGFjNmZiMTEwXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX67_CR0,0,67,98_AL_.jpg",John Wick: Chapter 4,(2023),R,169 min,"Action, Crime, Thriller",,8.2,78 Metascore,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","Director: Chad Stahelski | Stars: Keanu Reeves, Laurence Fishburne, George Georgiou, Lance Reddick","Votes: 149,986"
